$VISION
* File: C:\Users\gdt5762\Documents\MyFirstSim.inpx
* Comment: 
* Date: 5/2/2021 12:40:21 PM
* PTV Vissim: 2020.00 [13]
* 
* Table: Vehicles In Network
* 
* SIMSEC: SimSec, Simulation second (Simulation time [s]) [s]
* NO: No, Number (Unique vehicle number)
* COORDFRONTX: CoordFrontX, Coordinate front (x) (X-coordinate of vechicle’s front end)
* COORDFRONTY: CoordFrontY, Coordinate front (y) (Y-coordinate of vechicle’s front end)
* COORDFRONTZ: CoordFrontZ, Coordinate front (z) (Z-coordinate of vechicle’s front end) [m]
* SPEED: Speed, Speed (Speed at the end of the time step) [km/h]
* ORIENTATIONANGLE: OrientationAngle, Orientation angle
* 
* SimSec;No;CoordFrontX;CoordFrontY;CoordFrontZ;Speed;OrientationAngle
* Simulation second;Number;Coordinate front (x);Coordinate front (y);Coordinate front (z);Speed;Orientation angle
*
$VEHICLE:SIMSEC;NO;COORDFRONTX;COORDFRONTY;COORDFRONTZ;SPEED;ORIENTATIONANGLE
8.50;2;79.267;198.131;0.000;51.05;247.64
8.50;3;136.102;133.823;0.000;55.41;181.07
8.50;4;85.927;214.338;0.000;51.20;247.31
8.50;5;-43.371;123.182;0.000;56.41;0.25
8.50;6;174.312;134.537;0.000;53.15;181.07
8.50;7;193.576;134.897;0.000;53.43;181.07
8.50;8;-84.217;123.006;0.000;50.30;0.25
8.60;1;19.771;124.027;0.000;56.03;1.54
8.60;2;78.727;196.820;0.000;51.05;247.64
8.60;3;134.563;133.794;0.000;55.43;181.07
8.60;4;85.388;213.023;0.000;51.20;247.43
8.60;5;-41.803;123.189;0.000;56.47;0.25
8.60;6;172.836;134.510;0.000;53.15;181.07
8.60;7;192.092;134.870;0.000;53.43;181.07
8.60;8;-82.820;123.012;0.000;50.34;0.25
8.60;9;-110.125;122.895;0.000;50.43;0.25
8.70;1;21.326;124.069;0.000;55.96;1.54
8.70;2;78.188;195.509;0.000;51.05;247.64
8.70;3;133.024;133.765;0.000;55.43;181.07
8.70;4;84.848;211.707;0.000;51.19;247.50
8.70;5;-40.233;123.196;0.000;56.54;0.25
8.70;6;171.360;134.482;0.000;53.15;181.07
8.70;7;190.608;134.842;0.000;53.43;181.07
8.70;8;-81.421;123.018;0.000;50.38;0.25
8.70;9;-108.724;122.901;0.000;50.50;0.25
8.80;1;22.879;124.111;0.000;55.90;1.54
8.80;2;77.648;194.197;0.000;51.05;247.64
8.80;3;131.484;133.736;0.000;55.43;181.07
8.80;4;84.308;210.392;0.000;51.19;247.55
8.80;5;-38.662;123.202;0.000;56.60;0.25
8.80;6;169.883;134.454;0.000;53.15;181.07
8.80;7;189.124;134.814;0.000;53.43;181.07
8.80;8;-80.021;123.024;0.000;50.42;0.25
8.80;9;-107.320;122.907;0.000;50.57;0.25
8.90;1;24.430;124.152;0.000;55.83;1.54
8.90;2;77.109;192.886;0.000;51.05;247.64
8.90;3;129.947;133.708;0.000;55.32;181.07
8.90;4;83.768;209.076;0.000;51.18;247.58
